id,species,taxonId,ensembl,entrez,name,fullname,synonym,signature,chromStart,chromEnd,chromStrand,chromName,band,goTerms,function,goFunctions,goLocalizations,cerebralLocalization,nrIntxsValidated,nrIntxsPredicted,transcripts,humanOrthologs,mouseOrthologs,bovineOrthologs,lastModified
21,Homo sapiens,9606,ENSG00000099715,"2,732,883,259",PCDH11Y,protocadherin 11 Y-linked ,,"PCDH11Y|IDBG-21|ENSG00000099715|27328,83259",5000226,5742224,1,Y,p11.2,GO:0005509|calcium ion binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0007156|homophilic cell adhesion|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component, calcium ion binding,GO:0005509: calcium ion binding,GO:0005509: calcium ion binding,Plasma membrane,0,0,23|25|29|228206|810827|810829,,,,2017/2/20
67,Homo sapiens,9606,ENSG00000092377,90665,TBL1Y,"transducin (beta)-like 1, Y-linked ",,TBL1Y|IDBG-67|ENSG00000092377|90665,6910686,7091683,1,Y,p11.2,"GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0006351|transcription, DNA-templated|biological_process", protein binding,GO:0005515: protein binding,GO:0005515: protein binding,Nucleus,3,0,69|73|75,,Tbl1x|IDBG-157725|ENSMUSG00000025246|21372,"TBL1X|IDBG-639526|ENSBTAG00000018112|100849399,515972",2017/2/20
191,Homo sapiens,9606,ENSG00000114374,8287,USP9Y,"ubiquitin specific peptidase 9, Y-linked ",,USP9Y|IDBG-191|ENSG00000114374|8287,12701231,12860839,1,Y,q11.221,GO:0004843|ubiquitin-specific protease activity|molecular_function#GO:0005488|binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0006511|ubiquitin-dependent protein catabolic process|biological_process#GO:0007179|transforming growth factor beta receptor signaling pathway|biological_process#GO:0007283|spermatogenesis|biological_process#GO:0008234|cysteine-type peptidase activity|molecular_function#GO:0016579|protein deubiquitination|biological_process#GO:0030509|BMP signaling pathway|biological_process#GO:0036459|ubiquitinyl hydrolase activity|molecular_function#GO:0070410|co-SMAD binding|molecular_function, co-SMAD binding,GO:0004843: ubiquitin-specific protease activity#GO:0005488: binding#GO:0008234: cysteine-type peptidase activity#GO:0036459: ubiquitinyl hydrolase activity#GO:0070410: co-SMAD binding,"GO:0004843: ubiquitin-specific protease activity,GO:0005488: binding,GO:0008234: cysteine-type peptidase activity,GO:0036459: ubiquitinyl hydrolase activity,GO:0070410: co-SMAD binding",Cytoplasm,9,0,195|361872,,Usp9y|IDBG-127674|ENSMUSG00000069044|107868,,2017/2/20
238,Homo sapiens,9606,ENSG00000165246,22829,NLGN4Y,"neuroligin 4, Y-linked ",,NLGN4Y|IDBG-238|ENSG00000165246|22829,14522638,14845650,1,Y,q11.221,GO:0004872|receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0007158|neuron cell-cell adhesion|biological_process#GO:0007416|synapse assembly|biological_process#GO:0007612|learning|biological_process#GO:0008152|metabolic process|biological_process#GO:0009986|cell surface|cellular_component#GO:0014069|postsynaptic density|cellular_component#GO:0016020|membrane|cellular_component#GO:0016787|hydrolase activity|molecular_function#GO:0030054|cell junction|cellular_component#GO:0035176|social behavior|biological_process#GO:0042043|neurexin family protein binding|molecular_function#GO:0045202|synapse|cellular_component#GO:0045211|postsynaptic membrane|cellular_component#GO:0050839|cell adhesion molecule binding|molecular_function#GO:0071625|vocalization behavior|biological_process, cell adhesion molecule binding,GO:0004872: receptor activity#GO:0005515: protein binding#GO:0016787: hydrolase activity#GO:0042043: neurexin family protein binding#GO:0050839: cell adhesion molecule binding,"GO:0004872: receptor activity,GO:0005515: protein binding,GO:0016787: hydrolase activity,GO:0042043: neurexin family protein binding,GO:0050839: cell adhesion molecule binding",Cell surface,0,0,240|242|246|248|250|362070,,,,2017/2/20
259,Homo sapiens,9606,ENSG00000101557,9097,USP14,ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) ,TGT,USP14|IDBG-259|ENSG00000101557|9097,158383,214629,1,18,p11.32,GO:0000502|proteasome complex|cellular_component#GO:0004197|cysteine-type endopeptidase activity|molecular_function#GO:0004221|ubiquitin thiolesterase activity|molecular_function#GO:0004843|ubiquitin-specific protease activity|molecular_function#GO:0004866|endopeptidase inhibitor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006511|ubiquitin-dependent protein catabolic process|biological_process#GO:0007268|synaptic transmission|biological_process#GO:0008193|tRNA guanylyltransferase activity|molecular_function#GO:0008234|cysteine-type peptidase activity|molecular_function#GO:0009986|cell surface|cellular_component#GO:0010951|negative regulation of endopeptidase activity|biological_process#GO:0016023|cytoplasmic membrane-bounded vesicle|cellular_component#GO:0016579|protein deubiquitination|biological_process#GO:0036459|ubiquitinyl hydrolase activity|molecular_function#GO:0045202|synapse|cellular_component#GO:0050920|regulation of chemotaxis|biological_process#GO:0061136|regulation of proteasomal protein catabolic process|biological_process#GO:0070628|proteasome binding|molecular_function, proteasome binding,GO:0004197: cysteine-type endopeptidase activity#GO:0004221: ubiquitin thiolesterase activity#GO:0004843: ubiquitin-specific protease activity#GO:0004866: endopeptidase inhibitor activity#GO:0005515: protein binding#GO:0008193: tRNA guanylyltransferase activity#GO:0008234: cysteine-type peptidase activity#GO:0036459: ubiquitinyl hydrolase activity#GO:0070628: proteasome binding,"GO:0004197: cysteine-type endopeptidase activity,GO:0004221: ubiquitin thiolesterase activity,GO:0004843: ubiquitin-specific protease activity,GO:0004866: endopeptidase inhibitor activity,GO:0005515: protein binding,GO:0008193: tRNA guanylyltransferase activity,GO:0008234: cysteine-type peptidase activity,GO:0036459: ubiquitinyl hydrolase activity,GO:0070628: proteasome binding",Cell surface,70,4,261|263|228677|726168|727583|727521|808979,,Usp14|IDBG-128322|ENSMUSG00000047879|59025,BT.20599|IDBG-644085|ENSBTAG00000019214|505106,2017/2/20
282,Homo sapiens,9606,ENSG00000079134,9984,THOC1,THO complex 1 ,HPR1|P84|P84N5,THOC1|IDBG-282|ENSG00000079134|9984,214520,268050,-1,18,p11.32,"GO:0000018|regulation of DNA recombination|biological_process#GO:0000346|transcription export complex|cellular_component#GO:0000347|THO complex|cellular_component#GO:0000445|THO complex part of transcription export complex|cellular_component#GO:0003677|DNA binding|molecular_function#GO:0003723|RNA binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006351|transcription, DNA-templated|biological_process#GO:0006396|RNA processing|biological_process#GO:0006397|mRNA processing|biological_process#GO:0006406|mRNA export from nucleus|biological_process#GO:0006915|apoptotic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0008380|RNA splicing|biological_process#GO:0016363|nuclear matrix|cellular_component#GO:0016607|nuclear speck|cellular_component#GO:0031297|replication fork processing|biological_process#GO:0032784|regulation of DNA-templated transcription, elongation|biological_process#GO:0032786|positive regulation of DNA-templated transcription, elongation|biological_process#GO:0045171|intercellular bridge|cellular_component#GO:0046784|intronless viral mRNA export from host nucleus|biological_process#GO:0048297|negative regulation of isotype switching to IgA isotypes|biological_process#GO:2000002|negative regulation of DNA damage checkpoint|biological_process", protein binding,GO:0003677: DNA binding#GO:0003723: RNA binding#GO:0005515: protein binding,"GO:0003677: DNA binding,GO:0003723: RNA binding,GO:0005515: protein binding",Nucleus,64,0,284|809385|727425|726557|809383|727358|809387|809388,,Thoc1|IDBG-128300|ENSMUSG00000024287|225160,THOC1|IDBG-644087|ENSBTAG00000019215|100138748,2017/2/20
285,Homo sapiens,9606,ENSG00000158270,81035,COLEC12,collectin sub-family member 12 ,,COLEC12|IDBG-285|ENSG00000158270|81035,319361,500722,-1,18,p11.32,"GO:0002221|pattern recognition receptor signaling pathway|biological_process#GO:0005044|scavenger receptor activity|molecular_function#GO:0005534|galactose binding|molecular_function#GO:0005581|collagen trimer|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006898|receptor-mediated endocytosis|biological_process#GO:0006910|phagocytosis, recognition|biological_process#GO:0006952|defense response|biological_process#GO:0006955|immune response|biological_process#GO:0008329|signaling pattern recognition receptor activity|molecular_function#GO:0009756|carbohydrate mediated signaling|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0030169|low-density lipoprotein particle binding|molecular_function#GO:0030666|endocytic vesicle membrane|cellular_component#GO:0045087|innate immune response|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0051260|protein homooligomerization|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component", metal ion binding,GO:0005044: scavenger receptor activity#GO:0005534: galactose binding#GO:0008329: signaling pattern recognition receptor activity#GO:0030169: low-density lipoprotein particle binding#GO:0046872: metal ion binding,"GO:0005044: scavenger receptor activity,GO:0005534: galactose binding,GO:0008329: signaling pattern recognition receptor activity,GO:0030169: low-density lipoprotein particle binding,GO:0046872: metal ion binding",Plasma membrane,2,0,228706,,Colec12|IDBG-128247|ENSMUSG00000036103|140792,COLEC12|IDBG-644123|ENSBTAG00000007705|504741,2017/2/20
368,Homo sapiens,9606,ENSG00000141433,116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary) ,PACAP,ADCYAP1|IDBG-368|ENSG00000141433|116,904943,912172,1,18,p11.32,"GO:0001541|ovarian follicle development|biological_process#GO:0001662|behavioral fear response|biological_process#GO:0001821|histamine secretion|biological_process#GO:0002865|negative regulation of acute inflammatory response to antigenic stimulus|biological_process#GO:0002878|negative regulation of acute inflammatory response to non-antigenic stimulus|biological_process#GO:0005057|receptor signaling protein activity|molecular_function#GO:0005102|receptor binding|molecular_function#GO:0005179|hormone activity|molecular_function#GO:0005184|neuropeptide hormone activity|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0007169|transmembrane receptor protein tyrosine kinase signaling pathway|biological_process#GO:0007190|activation of adenylate cyclase activity|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0007218|neuropeptide signaling pathway|biological_process#GO:0007267|cell-cell signaling|biological_process#GO:0007565|female pregnancy|biological_process#GO:0008277|regulation of G-protein coupled receptor protein signaling pathway|biological_process#GO:0008284|positive regulation of cell proliferation|biological_process#GO:0010579|positive regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway|biological_process#GO:0010628|positive regulation of gene expression|biological_process#GO:0010656|negative regulation of muscle cell apoptotic process|biological_process#GO:0010976|positive regulation of neuron projection development|biological_process#GO:0016521|pituitary adenylate cyclase activating polypeptide activity|molecular_function#GO:0019233|sensory perception of pain|biological_process#GO:0019933|cAMP-mediated signaling|biological_process#GO:0021983|pituitary gland development|biological_process#GO:0030819|positive regulation of cAMP biosynthetic process|biological_process#GO:0031175|neuron projection development|biological_process#GO:0031858|pituitary adenylate cyclase-activating polypeptide receptor binding|molecular_function#GO:0032755|positive regulation of interleukin-6 production|biological_process#GO:0032854|positive regulation of Rap GTPase activity|biological_process#GO:0032880|regulation of protein localization|biological_process#GO:0034259|negative regulation of Rho GTPase activity|biological_process#GO:0042594|response to starvation|biological_process#GO:0043195|terminal bouton|cellular_component#GO:0043267|negative regulation of potassium ion transport|biological_process#GO:0045471|response to ethanol|biological_process#GO:0045786|negative regulation of cell cycle|biological_process#GO:0045860|positive regulation of protein kinase activity|biological_process#GO:0045909|positive regulation of vasodilation|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046034|ATP metabolic process|biological_process#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0051428|peptide hormone receptor binding|molecular_function#GO:0051968|positive regulation of synaptic transmission, glutamatergic|biological_process#GO:0060078|regulation of postsynaptic membrane potential|biological_process#GO:0060124|positive regulation of growth hormone secretion|biological_process#GO:0060253|negative regulation of glial cell proliferation|biological_process#GO:0070374|positive regulation of ERK1 and ERK2 cascade|biological_process#GO:0070445|regulation of oligodendrocyte progenitor proliferation|biological_process#GO:0071385|cellular response to glucocorticoid stimulus|biological_process#GO:0090274|positive regulation of somatostatin secretion|biological_process", peptide hormone receptor binding,GO:0005057: receptor signaling protein activity#GO:0005102: receptor binding#GO:0005179: hormone activity#GO:0005184: neuropeptide hormone activity#GO:0016521: pituitary adenylate cyclase activating polypeptide activity#GO:0031858: pituitary adenylate cyclase-activating polypeptide receptor binding#GO:0051428: peptide hormone receptor binding,"GO:0005057: receptor signaling protein activity,GO:0005102: receptor binding,GO:0005179: hormone activity,GO:0005184: neuropeptide hormone activity,GO:0016521: pituitary adenylate cyclase activating polypeptide activity,GO:0031858: pituitary adenylate cyclase-activating polypeptide receptor binding,GO:0051428: peptide hormone receptor binding",Extracellular,7,1,362077|725900,,Adcyap1|IDBG-201932|ENSMUSG00000024256|11516,ADCYAP1|IDBG-644139|ENSBTAG00000020650|615187,2017/2/20
410,Homo sapiens,9606,ENSG00000132205,84034,EMILIN2,elastin microfibril interfacer 2 ,,EMILIN2|IDBG-410|ENSG00000132205|84034,2847030,2915993,1,18,p11.32,GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005578|proteinaceous extracellular matrix|cellular_component#GO:0005581|collagen trimer|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0008150|biological_process|biological_process#GO:0030023|extracellular matrix constituent conferring elasticity|molecular_function, extracellular matrix constituent conferring elasticity,GO:0005515: protein binding#GO:0030023: extracellular matrix constituent conferring elasticity,"GO:0005515: protein binding,GO:0030023: extracellular matrix constituent conferring elasticity",Extracellular,3,0,412,,Emilin2|IDBG-196831|ENSMUSG00000024053|246707,BT.42167|IDBG-644172|ENSBTAG00000003880|514291,2017/2/20
617,Homo sapiens,9606,ENSG00000101680,284217,LAMA1,"laminin, alpha 1 ",,LAMA1|IDBG-617|ENSG00000101680|284217,6941744,7117814,-1,18,p11.31,GO:0002011|morphogenesis of an epithelial sheet|biological_process#GO:0005102|receptor binding|molecular_function#GO:0005201|extracellular matrix structural constituent|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005578|proteinaceous extracellular matrix|cellular_component#GO:0005604|basement membrane|cellular_component#GO:0005606|laminin-1 complex|cellular_component#GO:0005608|laminin-3 complex|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005911|cell-cell junction|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007411|axon guidance|biological_process#GO:0009888|tissue development|biological_process#GO:0030155|regulation of cell adhesion|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0030334|regulation of cell migration|biological_process#GO:0031012|extracellular matrix|cellular_component#GO:0031175|neuron projection development|biological_process#GO:0043208|glycosphingolipid binding|molecular_function#GO:0043256|laminin complex|cellular_component#GO:0045198|establishment of epithelial cell apical/basal polarity|biological_process#GO:0045995|regulation of embryonic development|biological_process#GO:0060041|retina development in camera-type eye|biological_process#GO:0060441|epithelial tube branching involved in lung morphogenesis|biological_process#GO:0060445|branching involved in salivary gland morphogenesis|biological_process#GO:0061304|retinal blood vessel morphogenesis|biological_process, glycosphingolipid binding,GO:0005102: receptor binding#GO:0005201: extracellular matrix structural constituent#GO:0005515: protein binding#GO:0043208: glycosphingolipid binding,"GO:0005102: receptor binding,GO:0005201: extracellular matrix structural constituent,GO:0005515: protein binding,GO:0043208: glycosphingolipid binding",Extracellular,11,7,619,,Lama1|IDBG-195773|ENSMUSG00000032796|16772,LAMA1|IDBG-644248|ENSBTAG00000018160|506387,2017/2/20
